season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2021,Whitney Mercilus,7031,ED,GB,10,4,0,,0,0,12,64,62.4,87.8,65.9,51.2,61.9,1,11,0,,7.1,1,0,0,0,0,3,5,0,3,311,306,0,1,301,4,0,5,190,118,0,10,9,0,15,0,0,0,
2021,Jackrabbit Jenkins,7043,CB,TEN,14,11,0,63.4,1,1,31,64.6,65.4,19.3,73.8,75.3,68.3,0,0,1,54,8.5,5,3,7,98.9,52,0,69,754,602,862,3,0,0,3,0,2,859,2,258,34,12,43,82,0,5,565,182,10.9
2021,Bobby Wagner,7050,LB,SEA,16,48,0,83.9,0,1,29,62.8,71.8,86,70,76.7,79.7,3,6,1,26,7.8,14,2,1,98.2,73,1,1036,2,626,1129,11,0,0,11,0,13,1118,50,453,67,51,118,87,10,1,679,437,9.3
2021,Tavon Wilson,7051,S,SF,4,3,0,66.7,0,0,28,61.4,57.7,81.5,60,47.1,69,0,0,0,33,10,1,2,0,109.7,2,0,16,0,60,102,3,0,0,3,0,64,99,1,41,19,1,6,3,0,0,42,7,21
2021,Lavonte David,7060,LB,TB,12,20,1,82,0,2,30,81,78.8,60.9,65.2,72,78.7,3,5,0,30,6.9,7,2,1,115.5,50,1,654,11,502,788,47,0,0,47,0,2,741,60,226,73,37,75,61,9,4,395,263,7.9
2021,Casey Hayward Jr.,7064,CB,LV,17,3,0,54.5,1,0,23,75,76,89.4,,71.6,63.1,0,0,1,47,11.3,6,6,4,81.5,30,0,43,1024,676,1091,18,0,0,18,0,0,1073,0,415,6,16,44,55,0,2,388,114,12.9
2021,Demario Davis,7079,LB,NO,16,31,1,66.7,0,0,20,73.4,77.9,89.6,64.8,78,77.7,8,7,0,27,8.6,10,5,2,78.7,38,3,829,8,550,1038,143,0,0,143,0,5,895,126,362,53,39,75,57,18,0,288,158,7.6
2021,Akiem Hicks,7090,DI,CHI,9,2,0,,0,0,6,61.4,72.3,63.4,71.9,66,41.1,5,5,0,,17.4,4,0,1,0,0,5,2,0,1,304,302,17,182,9,94,0,2,161,142,0,17,17,0,15,0,0,0,
2021,Kyle Wilber,7113,LB,LV,1,0,0,,0,0,23,,60.4,67.1,,60,,0,0,0,,,0,0,0,0,0,0,2,0,0,4,2,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,
2021,Mike Daniels,7132,DI,CIN,2,0,0,,0,0,7,,64.2,78.7,68,57.9,71.9,0,3,0,,0,0,0,0,0,0,0,0,0,0,64,64,1,48,3,12,0,0,30,34,0,5,5,0,3,0,0,0,
2021,Danny Trevathan,7177,LB,CHI,5,5,0,85.7,0,0,6,37.2,45.1,76.2,59.1,63,64.3,0,0,0,15,8.7,2,0,0,137.8,6,0,73,0,42,77,3,0,0,3,0,0,74,1,34,1,6,16,7,0,1,53,18,8.8
2021,Nate Ebner,7193,S,NYG,1,0,0,,0,0,21,60.7,70.3,60.5,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2021,Rodney McLeod,7271,S,PHI,13,11,0,60,0,0,24,58.4,63.7,87.4,57.6,75.3,70.4,0,0,2,29,10,6,2,0,42.5,12,0,117,1,432,684,6,0,0,6,0,495,678,3,249,65,12,43,20,0,0,144,34,12
