"","yearly_id","cluster_xgboost"
"608","2019_00-0034510","Cluster Other"
"609","2019_00-0034521","Cluster 6"
"610","2019_00-0034593","Cluster Other"
"611","2019_00-0034631","Cluster 6"
"612","2019_00-0034653","Cluster 6"
"613","2019_00-0034676","Cluster 5"
"614","2019_00-0034686","Cluster 5"
"615","2019_00-0034764","Cluster 3"
"616","2019_00-0034765","Cluster 7"
"617","2019_00-0034772","Cluster 5"
"618","2019_00-0034775","Cluster 3"
"619","2019_00-0034777","Cluster 3"
"620","2019_00-0034827","Cluster 3"
"621","2019_00-0034837","Cluster 5"
"622","2019_00-0034854","Cluster Other"
"623","2019_00-0034860","Cluster Other"
"624","2019_00-0034928","Cluster 7"
"625","2019_00-0034960","Cluster 6"
"626","2019_00-0035006","Cluster 7"
"627","2019_00-0035140","Cluster Other"
"628","2019_00-0035208","Cluster Other"
"629","2019_00-0035216","Cluster 3"
"630","2019_00-0035287","Cluster 6"
"631","2019_00-0035297","Cluster 6"
"632","2019_00-0035298","Cluster 6"
"633","2019_00-0035350","Cluster 5"
"634","2019_00-0035399","Cluster Other"
"635","2019_00-0035401","Cluster 6"
"636","2019_00-0035527","Cluster Other"
"637","2019_00-0035535","Cluster 5"
"638","2019_00-0035548","Cluster Other"
"639","2019_00-0035592","Cluster Other"
"640","2019_00-0035597","Cluster Other"
"641","2019_00-0035624","Cluster 6"
"642","2019_00-0035639","Cluster Other"
"643","2019_00-0035640","Cluster 3"
"644","2019_00-0035659","Cluster 3"
"645","2019_00-0035662","Cluster 3"
"646","2019_00-0035676","Cluster 3"
"647","2019_00-0035703","Cluster 6"
"648","2019_00-0035719","Cluster 3"
"649","2020_00-0022921","Cluster 7"
"650","2020_00-0026035","Cluster 7"
"651","2020_00-0026189","Cluster 5"
"652","2020_00-0027150","Cluster 7"
"653","2020_00-0027685","Cluster 3"
"654","2020_00-0027793","Cluster 7"
"655","2020_00-0027891","Cluster 7"
"656","2020_00-0027902","Cluster 6"
"657","2020_00-0027942","Cluster 5"
"658","2020_00-0027944","Cluster 3"
"659","2020_00-0028002","Cluster 7"
"660","2020_00-0028411","Cluster 6"
"661","2020_00-0029000","Cluster 7"
"662","2020_00-0029137","Cluster 6"
"663","2020_00-0029293","Cluster 3"
"664","2020_00-0029608","Cluster 5"
"665","2020_00-0029632","Cluster 6"
"666","2020_00-0030035","Cluster 3"
"667","2020_00-0030085","Cluster 6"
"668","2020_00-0030279","Cluster 3"
"669","2020_00-0030431","Cluster 3"
"670","2020_00-0030564","Cluster 3"
"671","2020_00-0030663","Cluster 7"
"672","2020_00-0030670","Cluster Other"
"673","2020_00-0031051","Cluster 5"
"674","2020_00-0031166","Cluster Other"
"675","2020_00-0031235","Cluster 5"
"676","2020_00-0031236","Cluster 3"
"677","2020_00-0031319","Cluster 6"
"678","2020_00-0031325","Cluster 7"
"679","2020_00-0031339","Cluster Other"
"680","2020_00-0031381","Cluster 3"
"681","2020_00-0031382","Cluster 3"
"682","2020_00-0031408","Cluster 3"
"683","2020_00-0031428","Cluster 3"
"684","2020_00-0031544","Cluster 3"
"685","2020_00-0031547","Cluster 3"
"686","2020_00-0031549","Cluster 5"
"687","2020_00-0031588","Cluster 3"
"688","2020_00-0031868","Cluster 5"
"689","2020_00-0031941","Cluster 7"
"690","2020_00-0032009","Cluster 7"
"691","2020_00-0032054","Cluster 5"
"692","2020_00-0032128","Cluster 6"
"693","2020_00-0032211","Cluster 3"
