"","yearly_id","cluster"
"517","2017_00-0033944","Cluster 1"
"518","2017_00-0027010","Cluster 4"
"519","2017_00-0027647","Cluster 9"
"520","2017_00-0029542","Cluster 6"
"521","2017_00-0029065","Cluster 6"
"522","2017_00-0030383","Cluster 9"
"523","2017_00-0031218","Cluster 6"
"524","2017_00-0031555","Cluster 2"
"525","2017_00-0031559","Cluster 5"
"526","2017_00-0032580","Cluster 3"
"527","2017_00-0026502","Cluster 8"
"528","2017_00-0028171","Cluster 12"
"529","2017_00-0032261","Cluster 10"
"530","2017_00-0031566","Cluster 11"
"531","2017_00-0032730","Cluster 11"
"532","2017_00-0033947","Cluster 11"
"533","2017_00-0033381","Cluster 10"
"534","2017_00-0029669","Cluster 11"
"535","2017_00-0031360","Cluster 4"
"536","2017_00-0031290","Cluster 1"
"537","2017_00-0031940","Cluster 7"
"538","2017_00-0032442","Cluster 1"
"539","2017_00-0032674","Cluster 3"
"540","2017_00-0033392","Cluster 7"
"541","2017_00-0027195","Cluster 5"
"542","2017_00-0028767","Cluster 5"
"543","2017_00-0029747","Cluster 5"
"544","2017_00-0030060","Cluster 9"
"545","2017_00-0031414","Cluster 3"
"546","2017_00-0032059","Cluster 2"
"547","2017_00-0032939","Cluster 9"
"548","2017_00-0032875","Cluster 6"
"549","2017_00-0032946","Cluster 2"
"550","2017_00-0033874","Cluster 6"
"551","2017_00-0033894","Cluster 9"
"552","2017_00-0027495","Cluster 7"
"553","2017_00-0027962","Cluster 11"
"554","2017_00-0030503","Cluster 11"
"555","2017_00-0031947","Cluster 10"
"556","2017_00-0032759","Cluster 12"
"557","2017_00-0033051","Cluster 12"
"558","2017_00-0032883","Cluster 7"
"559","2017_00-0033935","Cluster 7"
"560","2017_00-0033964","Cluster 7"
"561","2017_00-0028454","Cluster 1"
"562","2017_00-0028834","Cluster 4"
"563","2017_00-0030278","Cluster 1"
"564","2017_00-0030385","Cluster 5"
"565","2017_00-0030463","Cluster 4"
"566","2017_00-0031255","Cluster 7"
"567","2017_00-0032056","Cluster 7"
"568","2017_00-0033914","Cluster 1"
"569","2017_00-0026156","Cluster 2"
"570","2017_00-0029681","Cluster 6"
"571","2017_00-0031016","Cluster 6"
"572","2017_00-0031070","Cluster 5"
"573","2017_00-0032262","Cluster 2"
"574","2017_00-0032379","Cluster 6"
"575","2017_00-0033083","Cluster 9"
"576","2017_00-0032637","Cluster 2"
"577","2017_00-0032641","Cluster 2"
"578","2017_00-0027867","Cluster 11"
"579","2017_00-0029693","Cluster 11"
"580","2017_00-0029040","Cluster 10"
"581","2017_00-0031403","Cluster 8"
"582","2017_00-0030776","Cluster 7"
"583","2017_00-0031006","Cluster 10"
"584","2017_00-0032655","Cluster 7"
"585","2017_00-0033546","Cluster 10"
"586","2017_00-0033574","Cluster 7"
"587","2017_00-0027977","Cluster 7"
"588","2017_00-0028006","Cluster 4"
"589","2017_00-0030050","Cluster 1"
"590","2017_00-0031241","Cluster 11"
"591","2017_00-0033121","Cluster 4"
"592","2017_00-0033716","Cluster 2"
"593","2017_00-0028075","Cluster 6"
"594","2017_00-0029676","Cluster 6"
"595","2017_00-0030170","Cluster 5"
"596","2017_00-0031338","Cluster 5"
"597","2017_00-0031628","Cluster 2"
"598","2017_00-0032403","Cluster 2"
"599","2017_00-0032410","Cluster 2"
"600","2017_00-0033872","Cluster 4"
"601","2017_00-0033892","Cluster 9"
"602","2017_00-0026564","Cluster 10"
"603","2017_00-0027968","Cluster 12"
"604","2017_00-0031336","Cluster 7"
"605","2017_00-0030757","Cluster 10"
"606","2017_00-0031933","Cluster 12"
"607","2017_00-0032061","Cluster 8"
"608","2017_00-0027978","Cluster 7"
"609","2017_00-0029607","Cluster 4"
"610","2017_00-0029061","Cluster 5"
"611","2017_00-0030517","Cluster 7"
"612","2017_00-0030160","Cluster 11"
"613","2017_00-0031614","Cluster 7"
"614","2017_00-0033147","Cluster 4"
"615","2017_00-0032970","Cluster 11"
"616","2017_00-0025555","Cluster 2"
"617","2017_00-0026990","Cluster 9"
"618","2017_00-0027882","Cluster 2"
"619","2017_00-0027378","Cluster 9"
"620","2017_00-0028899","Cluster 9"
"621","2017_00-0031173","Cluster 5"
"622","2017_00-0032195","Cluster 6"
"623","2017_00-0032803","Cluster 6"
"624","2017_00-0033543","Cluster 3"
"625","2017_00-0033551","Cluster 2"
"626","2017_00-0026142","Cluster 7"
"627","2017_00-0027865","Cluster 11"
"628","2017_00-0029653","Cluster 12"
"629","2017_00-0029412","Cluster 11"
"630","2017_00-0030387","Cluster 7"
"631","2017_00-0031170","Cluster 12"
"632","2017_00-0031089","Cluster 8"
"633","2017_00-0032859","Cluster 8"
"634","2017_00-0033876","Cluster 7"
"635","2017_00-0033584","Cluster 8"
"636","2017_00-0029409","Cluster 1"
"637","2017_00-0029272","Cluster 4"
"638","2017_00-0029418","Cluster 5"
"639","2017_00-0032129","Cluster 1"
"640","2017_00-0032437","Cluster 5"
"641","2017_00-0032809","Cluster 1"
"642","2017_00-0033577","Cluster 5"
"643","2017_00-0025557","Cluster 2"
"644","2017_00-0027023","Cluster 9"
"645","2017_00-0027860","Cluster 6"
"646","2017_00-0029529","Cluster 6"
"647","2017_00-0030543","Cluster 3"
"648","2017_00-0033103","Cluster 6"
"649","2017_00-0033053","Cluster 9"
"650","2017_00-0032521","Cluster 2"
"651","2017_00-0033930","Cluster 5"
"652","2017_00-0027862","Cluster 12"
"653","2017_00-0027969","Cluster 12"
"654","2017_00-0031412","Cluster 12"
"655","2017_00-0031193","Cluster 8"
"656","2017_00-0031607","Cluster 8"
"657","2017_00-0033109","Cluster 10"
"658","2017_00-0027777","Cluster 5"
"659","2017_00-0028932","Cluster 5"
"660","2017_00-0030434","Cluster 4"
"661","2017_00-0031365","Cluster 4"
"662","2017_00-0032146","Cluster 11"
"663","2017_00-0031956","Cluster 7"
"664","2017_00-0032366","Cluster 5"
"665","2017_00-0033886","Cluster 11"
"666","2017_00-0027866","Cluster 9"
"667","2017_00-0027733","Cluster 9"
"668","2017_00-0028092","Cluster 6"
"669","2017_00-0028111","Cluster 6"
"670","2017_00-0029329","Cluster 3"
"671","2017_00-0030161","Cluster 2"
"672","2017_00-0031796","Cluster 2"
"673","2017_00-0033926","Cluster 6"
"674","2017_00-0033931","Cluster 5"
"675","2017_00-0033554","Cluster 3"
"676","2017_00-0026618","Cluster 11"
"677","2017_00-0030555","Cluster 7"
"678","2017_00-0030573","Cluster 12"
"679","2017_00-0031371","Cluster 7"
"680","2017_00-0030871","Cluster 8"
"681","2017_00-0032210","Cluster 11"
"682","2017_00-0032387","Cluster 10"
"683","2017_00-0032416","Cluster 8"
"684","2017_00-0033024","Cluster 8"
