"","gsis_id","offense_personnel","snap_count","team_snaps","snap_personnel_usage"
"569","00-0029701","1 RB, 2 TE, 2 WR",263,270,97.4074074074074
"570","00-0029701","1 RB, 3 TE, 1 WR",110,116,94.8275862068966
"571","00-0029701","2 RB, 1 TE, 2 WR",60,60,100
"572","00-0029701","2 RB, 2 TE, 1 WR",14,14,100
"573","00-0029709","0 RB, 1 TE, 4 WR",0,6,0
"574","00-0029709","1 RB, 1 TE, 3 WR",77,237,32.4894514767932
"575","00-0029709","1 RB, 2 TE, 2 WR",23,82,28.0487804878049
"576","00-0029709","1 RB, 3 TE, 1 WR",0,3,0
"577","00-0029709","2 RB, 0 TE, 3 WR",0,1,0
"578","00-0029709","2 RB, 1 TE, 2 WR",0,3,0
"579","00-0029709","2 RB, 2 TE, 1 WR",8,8,100
"580","00-0029738","0 RB, 1 TE, 4 WR",0,6,0
"581","00-0029738","0 RB, 3 TE, 2 WR",0,1,0
"582","00-0029738","1 RB, 0 TE, 4 WR",0,1,0
"583","00-0029738","1 RB, 1 TE, 3 WR",35,397,8.81612090680101
"584","00-0029738","1 RB, 2 TE, 2 WR",74,90,82.2222222222222
"585","00-0029738","1 RB, 3 TE, 1 WR",11,11,100
"586","00-0029738","2 RB, 0 TE, 3 WR",0,7,0
"587","00-0029738","2 RB, 1 TE, 2 WR",28,55,50.9090909090909
"588","00-0029738","2 RB, 2 TE, 1 WR",13,13,100
"589","00-0029738","3 RB, 0 TE, 2 WR",0,1,0
"590","00-0029892","0 RB, 1 TE, 4 WR",0,1,0
"591","00-0029892","0 RB, 2 TE, 3 WR",0,1,0
"592","00-0029892","1 RB, 1 TE, 3 WR",188,614,30.6188925081433
"593","00-0029892","1 RB, 2 TE, 2 WR",11,111,9.90990990990991
"594","00-0029892","1 RB, 3 TE, 1 WR",0,6,0
"595","00-0029892","2 RB, 1 TE, 2 WR",405,405,100
"596","00-0029892","2 RB, 2 TE, 1 WR",91,91,100
"597","00-0029892","2 RB, 3 TE, 0 WR",6,6,100
"598","00-0029895","0 RB, 0 TE, 5 WR",3,3,100
"599","00-0029895","0 RB, 1 TE, 4 WR",5,5,100
"600","00-0029895","0 RB, 2 TE, 3 WR",11,11,100
"601","00-0029895","0 RB, 3 TE, 2 WR",5,5,100
"602","00-0029895","1 RB, 0 TE, 4 WR",22,22,100
"603","00-0029895","1 RB, 1 TE, 3 WR",797,810,98.3950617283951
"604","00-0029895","1 RB, 2 TE, 2 WR",238,249,95.5823293172691
"605","00-0029895","1 RB, 3 TE, 1 WR",52,59,88.135593220339
"606","00-0029963","1 RB, 1 TE, 3 WR",22,26,84.6153846153846
"607","00-0029963","1 RB, 2 TE, 2 WR",9,13,69.2307692307692
"608","00-0029963","1 RB, 3 TE, 1 WR",4,9,44.4444444444444
"609","00-0029963","2 RB, 1 TE, 2 WR",4,10,40
"610","00-0030035","0 RB, 1 TE, 4 WR",61,66,92.4242424242424
"611","00-0030035","0 RB, 2 TE, 3 WR",2,2,100
"612","00-0030035","1 RB, 0 TE, 4 WR",15,15,100
"613","00-0030035","1 RB, 1 TE, 3 WR",323,379,85.2242744063325
"614","00-0030035","1 RB, 2 TE, 2 WR",112,134,83.5820895522388
"615","00-0030035","1 RB, 3 TE, 1 WR",7,9,77.7777777777778
"616","00-0030035","2 RB, 0 TE, 3 WR",30,33,90.9090909090909
"617","00-0030035","2 RB, 1 TE, 2 WR",152,183,83.0601092896175
"618","00-0030035","2 RB, 2 TE, 1 WR",49,64,76.5625
"619","00-0030035","2 RB, 3 TE, 0 WR",0,1,0
"620","00-0030035","3 RB, 0 TE, 2 WR",1,1,100
"621","00-0030035","3 RB, 1 TE, 1 WR",2,2,100
"622","00-0030046","0 RB, 1 TE, 4 WR",29,33,87.8787878787879
"623","00-0030046","0 RB, 2 TE, 3 WR",4,4,100
"624","00-0030046","0 RB, 3 TE, 2 WR",1,1,100
"625","00-0030046","1 RB, 1 TE, 3 WR",33,107,30.8411214953271
"626","00-0030046","1 RB, 2 TE, 2 WR",13,20,65
"627","00-0030046","1 RB, 3 TE, 1 WR",4,5,80
"628","00-0030046","2 RB, 0 TE, 3 WR",0,1,0
"629","00-0030046","2 RB, 1 TE, 2 WR",12,19,63.1578947368421
"630","00-0030046","2 RB, 2 TE, 1 WR",9,13,69.2307692307692
"631","00-0030061","0 RB, 1 TE, 4 WR",7,8,87.5
"632","00-0030061","0 RB, 2 TE, 3 WR",4,4,100
"633","00-0030061","1 RB, 0 TE, 4 WR",0,56,0
"634","00-0030061","1 RB, 1 TE, 3 WR",567,754,75.1989389920424
"635","00-0030061","1 RB, 2 TE, 2 WR",217,246,88.2113821138211
"636","00-0030061","1 RB, 3 TE, 1 WR",34,34,100
"637","00-0030061","2 RB, 0 TE, 3 WR",0,7,0
"638","00-0030061","2 RB, 1 TE, 2 WR",13,19,68.4210526315789
"639","00-0030061","2 RB, 2 TE, 1 WR",12,12,100
