"","yearly_id","down","snap_count","team_snaps","snap_down_usage"
"256","2021_00-0029567",1,29,29,100
"257","2021_00-0029567",2,20,20,100
"258","2021_00-0029567",3,15,15,100
"259","2021_00-0029567",4,3,3,100
"260","2021_00-0029592",1,543,554,98.014440433213
"261","2021_00-0029592",2,404,409,98.7775061124694
"262","2021_00-0029592",3,231,232,99.5689655172414
"263","2021_00-0029592",4,29,30,96.6666666666667
"264","2021_00-0029604",1,449,449,100
"265","2021_00-0029604",2,344,344,100
"266","2021_00-0029604",3,222,222,100
"267","2021_00-0029604",4,16,16,100
"268","2021_00-0029608",1,120,278,43.1654676258993
"269","2021_00-0029608",2,118,212,55.6603773584906
"270","2021_00-0029608",3,101,132,76.5151515151515
"271","2021_00-0029608",4,7,16,43.75
"272","2021_00-0029632",1,91,243,37.4485596707819
"273","2021_00-0029632",2,62,159,38.9937106918239
"274","2021_00-0029632",3,79,97,81.4432989690722
"275","2021_00-0029632",4,8,12,66.6666666666667
"276","2021_00-0029664",1,106,388,27.319587628866
"277","2021_00-0029664",2,74,291,25.4295532646048
"278","2021_00-0029664",3,45,173,26.0115606936416
"279","2021_00-0029664",4,0,12,0
"280","2021_00-0029672",1,293,317,92.4290220820189
"281","2021_00-0029672",2,227,244,93.0327868852459
"282","2021_00-0029672",3,136,150,90.6666666666667
"283","2021_00-0029672",4,11,13,84.6153846153846
"284","2021_00-0029679",1,44,60,73.3333333333333
"285","2021_00-0029679",2,33,42,78.5714285714286
"286","2021_00-0029679",3,21,26,80.7692307692308
"287","2021_00-0029679",4,2,3,66.6666666666667
"288","2021_00-0029685",1,305,317,96.2145110410095
"289","2021_00-0029685",2,232,242,95.8677685950413
"290","2021_00-0029685",3,135,141,95.7446808510638
"291","2021_00-0029685",4,19,20,95
"292","2021_00-0029701",1,484,490,98.7755102040816
"293","2021_00-0029701",2,373,378,98.6772486772487
"294","2021_00-0029701",3,238,240,99.1666666666667
"295","2021_00-0029701",4,24,24,100
"296","2021_00-0029709",1,44,139,31.6546762589928
"297","2021_00-0029709",2,37,119,31.0924369747899
"298","2021_00-0029709",3,26,74,35.1351351351351
"299","2021_00-0029709",4,1,8,12.5
"300","2021_00-0029738",1,82,257,31.9066147859922
"301","2021_00-0029738",2,52,193,26.9430051813472
"302","2021_00-0029738",3,23,112,20.5357142857143
"303","2021_00-0029738",4,4,20,20
"304","2021_00-0029892",1,327,565,57.8761061946903
"305","2021_00-0029892",2,215,404,53.2178217821782
"306","2021_00-0029892",3,140,239,58.5774058577406
"307","2021_00-0029892",4,19,27,70.3703703703704
"308","2021_00-0029895",1,492,505,97.4257425742574
"309","2021_00-0029895",2,395,405,97.5308641975309
"310","2021_00-0029895",3,229,236,97.0338983050847
"311","2021_00-0029895",4,17,18,94.4444444444444
"312","2021_00-0029963",1,21,29,72.4137931034483
"313","2021_00-0029963",2,12,18,66.6666666666667
"314","2021_00-0029963",3,5,8,62.5
"315","2021_00-0029963",4,1,3,33.3333333333333
"316","2021_00-0030035",1,331,394,84.010152284264
"317","2021_00-0030035",2,249,299,83.2775919732441
"318","2021_00-0030035",3,162,182,89.010989010989
"319","2021_00-0030035",4,12,14,85.7142857142857
"320","2021_00-0030046",1,40,77,51.9480519480519
"321","2021_00-0030046",2,38,72,52.7777777777778
"322","2021_00-0030046",3,26,53,49.0566037735849
"323","2021_00-0030046",4,1,1,100
"324","2021_00-0030061",1,360,493,73.0223123732251
"325","2021_00-0030061",2,290,371,78.167115902965
"326","2021_00-0030061",3,174,241,72.1991701244813
"327","2021_00-0030061",4,30,35,85.7142857142857
"328","2021_00-0030066",1,7,60,11.6666666666667
"329","2021_00-0030066",2,6,48,12.5
"330","2021_00-0030066",3,3,25,12
"331","2021_00-0030066",4,0,1,0
"332","2021_00-0030067",1,142,154,92.2077922077922
"333","2021_00-0030067",2,121,133,90.9774436090226
"334","2021_00-0030067",3,82,88,93.1818181818182
"335","2021_00-0030067",4,9,9,100
"336","2021_00-0030068",1,147,324,45.3703703703704
"337","2021_00-0030068",2,109,261,41.7624521072797
"338","2021_00-0030068",3,76,164,46.3414634146341
"339","2021_00-0030068",4,7,21,33.3333333333333
"340","2021_00-0030074",1,11,29,37.9310344827586
"341","2021_00-0030074",2,8,21,38.0952380952381
